Category ID,Category Name,Retail Name,Retail Price
2,生鮮食品_冷藏食品_調理食品_各式豆腐,義美雞蛋豆腐(非基改),26
2,生鮮食品_冷藏食品_乳製品_保久乳,光泉全脂保久牛乳-200mlx24,384
2,"生鮮食品_冷藏食品_乳製品_米漿,豆漿",統一陽光黃金豆豆漿,58
2,"生鮮食品_冷藏食品_乳製品_米漿,豆漿",統一蜜豆奶(雞蛋)*6入/組,60
2,生鮮食品_冷藏食品_乳製品_保久乳,國農果汁牛乳-215mlx6,168
2,生鮮食品_冷藏食品_乳製品_優酪乳,統一AB無加糖優酪乳1830ml,129
2,生鮮食品_冷藏食品_乳製品_保久乳,光泉巧克力牛乳-200mlx6,63
2,"生鮮食品_冷藏食品_乳製品_米漿,豆漿",統一陽光黃金豆豆漿 -低糖口味,58
2,生鮮食品_冷藏食品_乳製品_優酪乳,福樂自然零無加糖優酪乳920ml,58
2,生鮮食品_冷藏食品_飲品．甜點_甜點,光泉晶典小品 茉莉茶凍-130gx3入組,59
2,生鮮食品_冷藏食品_乳製品_鮮乳,鮮乳坊許慶良鮮乳(無調整-單一牧場)936ml,119
2,生鮮食品_冷藏食品_調理食品_各式豆腐,義美古早傳統豆乾-五香-200g,27
2,生鮮食品_冷藏食品_乳製品_優格,福樂自然零藍莓優格-100g克x4Bottle瓶,60
3,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬冰角,135
3,冷凍食品_冰品_各式冰品_冰淇淋,小美杯裝冰淇淋-85gx8,111
3,冷凍食品_冰品_各式冰品_其它2,巧娜娜即食黑色珍珠粉圓,75
3,冷凍食品_冰品_各式冰品_其它2,老實農場萊姆冰角,136
3,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 草莓冰淇淋,285
3,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺特級瑞巧冰淇淋,120
3,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺特級巧克力冰淇淋-480g,120
3,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬百香冰角,160
3,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬蔓越莓冰角,160
3,冷凍食品_冰品_各式冰品_冰棒,義美紅豆牛奶冰棒-87.50gx5,79
3,冷凍食品_冰品_各式冰品_其它2,阿奇儂冰沙花生花豆,30
3,冷凍食品_冰品_各式冰品_冰淇淋,哈根達斯 冰淇淋品脫 抹茶 473ml,286
3,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 巧克力冰淇淋,285
