category_name,product_name,unit_price
飲料零食_茶飲．咖啡．水_茶飲_花茶與水果茶,伊藤園TEASTEA蘋果紅茶535ml,29
飲料零食_茶飲．咖啡．水_茶飲_烏龍茶,悅氏黑烏龍茶-2000ml,45
生活休閒_日用百貨_餐具/鍋具/廚房配件_鋁箔、保鮮膜袋,妙潔耐熱袋量販包(一斤)135入,84
米油沖泡_咖啡．茶包_咖啡_咖啡隨身包,西雅圖大地原始拿鐵無加糖2合1咖啡,309
冷凍食品_火鍋料理_各式火鍋料_火鍋餃/火鍋料,桂冠蝦球,47
冷凍食品_火鍋料理_各式丸類_肉丸,桂冠香菇貢丸,99
飲料零食_果汁．飲料．養生_可樂．汽水．沙士_加味汽水及沙士,維他露大蘋果蘇打-250mlx24,254
米油沖泡_米．食用油_食用米_米,台東關山鎮農會良質米2.5kg,249
生鮮食品_冷藏食品_乳製品_優格,家樂福原味優格-100gx2,24
飲料零食_茶飲．咖啡．水_茶飲_花茶與水果茶,伊藤園TEASTEA蜜桃紅茶535ml,29
米油沖泡_咖啡．茶包_茶包_即溶茶,3點1刻經典原味奶茶-20gx15,129
冷凍食品_火鍋料理_各式火鍋料_火鍋餃/火鍋料,四大天王火鍋餃,94
米油沖泡_泡麵．麵條_速食麵_海鮮口味,不倒翁海鮮烏龍拉麵(袋)120g,133
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山黑芝麻紫米堅果飲 30克x12,91
米油沖泡_泡麵．麵條_速食麵_蔬菜口味,隨緣韓式泡菜湯麵(包)75g,75
美妝護理_衛生紙_衛生紙_抽取式,可麗舒抽取衛生紙-100PCx24,234
米油沖泡_奶粉．麥片．穀粉_早餐食品_加味穀片,家樂氏COCO格格脆330g,138
日用百貨_家庭清潔_廚房清潔_廚房紙巾,五月花竹纖維廚房紙巾-60PCx4捲,138
美妝護理_女性衛生_衛生棉_護墊,靠得住香氛瞬吸護墊-梔子花17.5cm-24PCx2,120
生活休閒_日用百貨_餐具/鍋具/廚房配件_鋁箔、保鮮膜袋,OP生物分解抗菌立體密封袋 M,98
美妝護理_女性衛生_衛生棉_夜用,蘇菲超熟睡夜用細緻棉35cm(8片x3包),216
母嬰保健_育嬰用品_嬰幼兒用品_護理用品,優生酒精濕巾80抽-超厚型,99
生鮮食品_海鮮水產_鮮魚_切片魚,履歷金目鱸魚片(每包約280克),169
日用百貨_家庭清潔_廚房清潔_洗碗精,泡舒洗潔精補充包-檸檬-800g,59
飲料零食_精選餅乾_烘培糕餅_中式糕餅/沙其瑪,旭成菜脯酥(純素)-270g,67
米油沖泡_調味品．罐頭．湯品_調味粉．醬_辣醬,陶華碧老干媽香辣脆油辣椒210g,76
生活休閒_日用百貨_餐具/鍋具/廚房配件_鋁箔、保鮮膜袋,OP生物分解抗菌立體密封袋 L,98
生活休閒_日用百貨_免洗餐具_烤肉器材(BBQ),【烤肉用品】菱形烤肉網,20
飲料零食_茶飲．咖啡．水_茶飲_烏龍茶,立頓茶佐茶無糖烏龍紅-535mlx4,67
米油沖泡_米．食用油_食用米_米,金農履歷一等白鷺鷥巡米(圓一)2kg,99
飲料零食_果汁．飲料．養生_可樂．汽水．沙士_加味汽水及沙士,舒味思葡萄柚口味汽水-330mlx4,85
米油沖泡_調味品．罐頭．湯品_調味粉．醬_醋,萬家香特級烏醋 595ml,31
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山亞麻籽堅果杏仁飲 28克x10,117
飲料零食_精選餅乾_鹹餅乾_蘇打餅乾,海太天然酵母蘇打餅,52
日用百貨_家庭清潔_補充配件_其他拖把頭,好神拖標準型布盤(極細緻布盤),149
生鮮食品_冷藏食品_乳製品_活性乳酸飲料,啵樂樂乳酸飲料-草莓味-235ml,39
日用百貨_家庭清潔_洗衣用品_洗衣精,清淨海櫻花7+洗衣精,198
米油沖泡_奶粉．麥片．穀粉_早餐食品_燕麥,桂格即沖即食大燕麥片1100g,834
冷凍食品_微波食品_微波餐點_義大利麵．丼飯．麵點,讚岐烏龍湯麵,141
美妝護理_衛生紙_衛生紙_抽取式,五月花蓬厚柔三層抽取衛生紙-110PCx24,439
生鮮食品_冷藏食品_乳製品_活性乳酸飲料,啵樂樂乳酸飲料-牛奶-235ml,39
生鮮食品_肉品．高湯_加工肉品_烤肉食材,立大食品冷凍豬五花烤肉片(每盒約250克),120
米油沖泡_調味品．罐頭．湯品_調味粉．醬_味精,康寶全新鮮味炒手素食500g,165
